PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Carsen Edwards,BOS,22,5'11,200,Purdue,USA,2019,2,33,35,3.0,1.2,0.6,6.4,1.60%,10.80%,16.80%,44.60%,11.60%,PG,5.50%,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6''
Chandler Parsons,ATL,31,6'9,230,Florida,USA,2011,2,38,5,2.8,1.4,0.6,29.0,1.50%,12.00%,15.00%,38.90%,10.00%,SF,7.00%,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5''
Chasson Randle,GSW,27,6'2,185,Stanford,USA,Undrafted,Undrafted,Undrafted,3,1.7,0.7,1.7,2.0,0.00%,5.30%,8.00%,37.70%,16.10%,PG,4.50%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0.5'',178.8,6' 7''
Cheick Diallo,PHX,23,6'8,219,Kansas,Mali,2016,2,33,44,4.8,2.9,0.5,4.6,6.00%,21.20%,16.60%,68.80%,7.70%,PF,5.60%,8.5,9.75,6' 7.5'',6' 9'',8' 11.5'',218.6,7' 4.5''
Chimezie Metu,SAS,23,6'9,225,USC,USA,2018,2,49,16,2.9,1.6,0.4,2.5,12.50%,21.60%,23.80%,59.70%,14.00%,PF-C,5.05%,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5''
Chris Boucher,TOR,27,6'9,200,Oregon,Canada,Undrafted,Undrafted,Undrafted,55,6.3,4.4,0.4,5.4,12.00%,18.20%,18.30%,57.00%,4.90%,PF,5.40%,9.25,10.5,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4''
Chris Paul,OKC,35,6'1,175,Wake Forest,USA,2005,1,4,63,17.7,4.9,6.8,6.8,1.10%,14.10%,22.60%,60.90%,31.80%,PG,-%,-,-,5' 11.75'',6' 1'',7' 9'',178,6' 4.25''
Christian Wood,DET,24,6'10,214,UNLV,USA,Undrafted,Undrafted,Undrafted,62,13.1,6.3,1.0,2.0,7.90%,21.40%,22.30%,65.90%,7.40%,PF,14.70%,9.25,10.75,6' 9.25'',6' 10.5'',9' 3.5'',216,7' 3.25''
Coby White,CHI,20,6'4,195,North Carolina,USA,2019,1,7,65,13.2,3.5,2.7,4.4,1.50%,12.80%,23.50%,50.60%,16.20%,PG,4.30%,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5''
Cody Martin,CHA,24,6'5,205,Nevada'Reno,USA,2019,2,36,48,5.0,3.3,2.0,3.2,3.90%,14.00%,13.10%,50.50%,15.40%,PG-SG,5.00%,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25''
