PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Montrezl Harrell,LAC,26,6'7,240,Louisville,USA,2015,2,32,63,18.6,7.1,1.7,6.5,8.90%,14.10%,24.50%,60.70%,10.20%,PF,11.90%,9,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25''
Moritz Wagner,WAS,23,6'11,245,Michigan,Germany,2018,1,25,37,9.5,5.2,1.3,1.5,6.80%,20.30%,18.10%,66.60%,10.30%,C-PF,6.75%,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
Moses Brown,POR,20,7'2,245,None,USA,Undrafted,Undrafted,Undrafted,9,1.2,1.6,0.1,50.9,7.30%,32.40%,20.00%,40.70%,4.80%,C,7.80%,9.5,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75''
Myles Turner,IND,24,6'11,250,Texas,USA,2015,1,11,55,11.8,6.5,1.1,0.9,4.30%,17.10%,17.40%,56.10%,5.40%,C-PF,9.30%,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4''
Nassir Little,POR,20,6'5,220,North Carolina,USA,2019,1,25,48,3.6,2.3,0.5,3.2,4.80%,12.00%,13.10%,50.50%,5.00%,SF,5.90%,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25''
Naz Reid,MIN,20,6'9,264,None,USA,Undrafted,Undrafted,Undrafted,30,9.0,4.1,1.2,0.7,6.00%,17.60%,23.40%,50.50%,10.60%,PF,14.00%,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25''
Nerlens Noel,OKC,26,6'10,220,Kentucky,USA,2013,1,6,55,7.7,4.9,1.0,1.8,8.30%,17.60%,15.20%,71.40%,8.10%,C,4.15%,9.5,10,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75''
Nicolas Claxton,BKN,21,6'11,215,Georgia,USA,2019,2,31,15,4.4,2.9,1.1,15.6,9.00%,11.20%,14.40%,57.70%,14.20%,C,4.50%,9.25,9.5,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5''
Nikola Vucevic,ORL,29,6'11,260,USC,Montenegro,2011,1,16,54,19.5,11.0,3.7,0.4,7.10%,27.00%,25.60%,54.00%,18.60%,PF-C,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5''
Noah Vonleh,DEN,24,6'10,257,Indiana,USA,2014,1,9,33,3.8,3.7,0.8,5.1,8.70%,20.80%,13.60%,62.10%,11.50%,PF,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25''
Norman Powell,TOR,27,6'3,215,UCLA,USA,2015,2,46,44,16.4,3.7,1.8,6.7,1.80%,9.50%,21.00%,62.90%,9.40%,SG,6.40%,9.25,9,6' 3'',6' 4.25'',8' 6.5'',215.4,6' 10.75''
Norvel Pelle,PHI,27,6'10,231,None,USA,Undrafted,Undrafted,Undrafted,20,2.1,3.0,0.4,16.4,8.50%,23.70%,12.60%,52.10%,5.60%,PF-C,5.15%,8.75,9.5,6' 9.5'',6' 10.5'',9' 1'',207.2,7' 2.5''
OG Anunoby,TOR,22,6'7,232,Indiana,United Kingdo...,2017,1,23,63,10.7,5.4,1.6,5.7,3.90%,13.40%,14.30%,59.80%,7.30%,SF,6.80%,9.25,9.5,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25''
Omari Spellman,MIN,22,6'8,245,Villanova,USA,2018,1,30,49,7.6,4.5,1.0,8.5,7.60%,15.50%,17.70%,55.10%,8.60%,PF-C,13.75%,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
P.J. Washington,CHA,21,6'7,230,Kentucky,USA,2019,1,12,58,12.2,5.4,2.1,6.3,3.20%,14.50%,18.40%,54.70%,11.50%,PF,8.60%,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25''
PJ Dozier,DEN,23,6'6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,21,4.1,1.4,1.4,1.6,1.90%,10.10%,18.40%,44.90%,17.00%,SG,6.10%,8.5,9.5,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11''
Pascal Siakam,TOR,26,6'9,230,New Mexico State,Cameroon,2016,1,27,53,23.6,7.5,3.6,8.7,3.00%,16.60%,28.20%,55.90%,16.50%,PF,5.20%,9.25,10,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25''
Pat Connaughton,MIL,27,6'5,209,Notre Dame,USA,2015,2,41,61,5.1,4.2,1.6,4.3,4.60%,15.30%,11.50%,55.80%,11.20%,SG,10.20%,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215,6' 8''
Patrick McCaw,TOR,24,6'7,181,UNLV,USA,2016,2,38,37,4.6,2.3,2.1,0.6,2.00%,6.80%,9.30%,50.00%,11.80%,PG-SG,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10''
Patrick Patterson,LAC,31,6'8,235,Kentucky,USA,2010,1,14,51,4.6,2.4,0.6,4.4,4.60%,13.80%,14.70%,57.60%,7.10%,PF,5.30%,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25''
Patty Mills,SAS,31,6'1,180,St. Mary's (CA),Australia,2009,2,55,63,11.7,1.6,1.8,3.6,1.30%,5.20%,19.30%,58.90%,11.10%,PG,6.90%,-,-,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2''
Paul George,LAC,30,6'8,220,Fresno State,USA,2010,1,10,42,21.0,5.7,3.9,8.3,1.80%,16.50%,29.20%,58.20%,20.80%,SF,5.00%,8.5,9,6' 7.75'',6' 8.75'',8' 11'',214.4,6' 11.25''
Paul Millsap,DEN,35,6'7,257,Louisiana Tech,USA,2006,2,47,44,12.0,5.9,1.6,11.3,8.00%,15.80%,20.00%,59.80%,9.10%,PF,9.70%,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5''
Quinn Cook,LAL,27,6'1,180,Duke,USA,Undrafted,Undrafted,Undrafted,38,4.8,1.1,1.1,8.8,1.60%,7.10%,20.10%,51.70%,14.00%,PG,6.70%,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179,6' 4''
Quinndary Weatherspoon,SAS,23,6'3,205,Mississippi State,USA,2019,2,49,3,0.0,0.3,0.3,14.5,0.00%,5.60%,8.60%,0.00%,9.10%,SG,6.10%,8.5,9,6' 3'',6' 4.25'',8' 4'',206.6,6' 9''
RJ Barrett,NYK,20,6'6,214,Duke,Canada,2019,1,3,56,14.3,5.0,2.6,9.1,2.70%,13.40%,23.40%,47.90%,12.70%,SF,-%,-,-,,,,-,
Reggie Bullock,NYK,29,6'6,205,North Carolina,USA,2013,1,25,29,8.1,2.3,1.4,5.8,1.80%,8.20%,15.30%,50.20%,8.70%,SG-SF,6.95%,8.5,9,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75''
Richaun Holmes,SAC,26,6'10,235,Bowling Green,USA,2015,2,37,39,12.8,8.3,1.0,1.6,10.30%,18.70%,15.90%,68.50%,5.30%,PF,8.80%,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5''
Robert Covington,HOU,29,6'7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,62,12.8,6.4,1.2,0.1,2.70%,17.70%,17.40%,57.10%,5.80%,SF-PF,4.70%,9,8.5,6' 6.25'',6' 7.5'',8' 10'',208.6,7' 1.75''
Rodney Hood,POR,27,6'8,208,Duke,USA,2014,1,23,21,11.0,3.4,1.5,0.6,1.50%,9.20%,13.70%,62.50%,6.80%,SF,7.45%,8.5,8.5,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5''
Romeo Langford,BOS,20,6'4,216,Indiana,USA,2019,1,14,27,2.6,1.2,0.2,8.5,4.30%,5.70%,11.60%,46.50%,2.60%,SG,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11''
Rudy Gay,SAS,33,6'8,250,Connecticut,USA,2006,1,8,60,10.0,5.4,1.7,0.9,4.20%,19.50%,20.60%,54.50%,11.60%,SF-PF,5.70%,-,-,6' 7'',6' 8'',8' 11.5'',222,7' 3''
Rudy Gobert,UTA,28,7'1,258,None,France,2013,1,27,62,15.1,13.7,1.5,6.1,10.40%,27.90%,16.10%,70.00%,6.50%,C,4.40%,9.75,10,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5''
Russell Westbrook,HOU,31,6'3,200,UCLA,USA,2008,1,4,53,27.5,8.0,7.0,3.6,4.40%,16.00%,33.00%,53.90%,33.80%,PG,4.80%,-,-,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75''
Semi Ojeleye,BOS,25,6'6,240,Southern Methodist,USA,2017,2,37,61,3.1,2.0,0.5,0.4,2.50%,10.30%,8.60%,55.70%,4.90%,SF-SG,5.50%,8.75,9.5,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75''
Seth Curry,DAL,29,6'2,185,Duke,USA,Undrafted,Undrafted,Undrafted,59,12.6,2.4,2.0,4.7,1.70%,7.20%,17.80%,65.00%,12.30%,SG,9.60%,8,8.25,6' 1'',6' 3'',8' 1.5'',179.2,6' 4''
Shabazz Napier,WAS,28,6'0,175,Connecticut,USA,2014,1,24,51,10.3,2.9,5.0,2.6,1.80%,10.00%,19.20%,55.50%,30.70%,PG,7.35%,8.25,8.5,5' 11'',6' 1'',7' 9'',175.2,6' 3.25''
Shake Milton,PHI,23,6'5,205,Southern Methodist,USA,2018,2,54,32,9.5,2.1,2.2,1.4,1.80%,9.50%,19.40%,63.30%,17.00%,SG-PG,6.80%,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
Shamorie Ponds,HOU,22,6'1,180,None,USA,Undrafted,Undrafted,Undrafted,4,2.3,0.3,0.5,5.5,0.00%,16.70%,22.20%,76.50%,40.00%,PG,9.80%,7.75,8,5' 11.5'',6' 0.5'',8' 0.5'',180,6' 3.5''
Skal Labissiere,ATL,24,6'10,235,Kentucky,Haiti,2016,1,28,33,5.8,5.1,1.3,1.3,10.50%,15.50%,13.90%,58.80%,10.60%,PF-C,5.70%,8.75,9,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5''
Solomon Hill,MIA,29,6'6,226,Arizona,USA,2013,1,23,54,5.4,2.9,1.8,1.6,2.70%,12.00%,13.20%,54.20%,12.60%,SF,7.60%,9,10.5,6' 5.5'',6' 7'',8' 7'',226,6' 9''
Spencer Dinwiddie,BKN,27,6'5,215,Colorado,USA,2014,2,38,64,20.6,3.5,6.8,1.1,1.50%,8.50%,28.70%,54.10%,34.40%,PG,5.35%,8.25,9,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25''
Stanley Johnson,TOR,24,6'6,242,Arizona,USA,2015,1,8,20,1.2,1.1,0.4,4.9,2.80%,16.20%,17.70%,34.20%,12.90%,SF,7.50%,9,9,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5''
Stephen Curry,GSW,32,6'3,185,Davidson,USA,2009,1,7,5,20.8,5.2,6.6,15.3,2.30%,16.20%,28.60%,55.70%,35.50%,PG-SG,5.70%,-,-,6' 2'',6' 3.25'',8' 1'',181,6' 3.5''
Steven Adams,OKC,26,6'11,265,Pittsburgh,New Zealand,2013,1,12,58,10.9,9.4,2.4,4.4,13.00%,21.10%,16.60%,60.50%,13.20%,C,6.65%,9.5,11,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5''
Svi Mykhailiuk,DET,23,6'7,205,Kansas,Ukraine,2018,2,47,56,9.0,1.9,1.9,0.6,1.30%,7.10%,16.50%,57.80%,12.00%,SG-SF,11.40%,8,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5''
T.J. Warren,IND,26,6'8,220,North Carolina State,USA,2014,1,14,61,18.7,4.0,1.4,1.4,3.10%,8.80%,22.40%,59.90%,7.00%,SF,7.95%,8.75,9,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25''
TJ Leaf,IND,23,6'10,222,UCLA,USA,2017,1,18,25,2.9,2.6,0.2,1.8,9.90%,18.40%,17.00%,48.50%,4.50%,PF,6.80%,8.5,9.5,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11''
Tacko Fall,BOS,24,7'5,311,None,Senegal,Undrafted,Undrafted,Undrafted,6,3.2,1.8,0.0,12.7,0.00%,36.70%,28.10%,71.30%,0.00%,C,6.80%,10.5,10.5,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25''
Taj Gibson,NYK,35,6'9,232,USC,USA,2009,1,26,62,6.1,4.3,0.8,12.5,9.80%,15.80%,14.50%,61.00%,7.70%,PF,6.60%,-,-,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4''
Taurean Prince,BKN,26,6'7,218,Baylor,USA,2016,1,12,64,12.1,6.0,1.8,1.3,2.40%,16.20%,20.00%,49.70%,9.00%,SF,6.45%,9,8.5,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5''
Terance Mann,LAC,23,6'5,215,Florida State,USA,2019,2,48,35,1.6,0.9,1.1,1.2,1.40%,9.80%,10.90%,47.20%,18.50%,SG-SF,4.00%,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75''
Terence Davis,TOR,23,6'4,201,None,USA,Undrafted,Undrafted,Undrafted,64,7.7,3.4,1.7,10.0,4.10%,13.90%,18.00%,59.80%,14.50%,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75''
Terrance Ferguson,OKC,22,6'6,190,None,USA,2017,1,21,50,4.2,1.5,0.9,3.0,2.10%,4.10%,9.10%,50.40%,5.20%,SG-SF,5.80%,8.5,10,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75''
Terrence Ross,ORL,29,6'6,206,Washington,USA,2012,1,8,63,14.8,3.2,1.2,2.8,0.70%,10.70%,21.70%,54.80%,7.20%,SG-SF,3.20%,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25''
Terry Rozier,CHA,26,6'1,190,Louisville,USA,2015,1,16,63,18.0,4.4,4.1,9.0,2.20%,10.70%,23.20%,55.30%,20.90%,PG-SG,5.60%,8.25,8.5,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25''
Thaddeus Young,CHI,32,6'8,235,Georgia Tech,USA,2007,1,12,64,10.3,4.9,1.8,6.2,5.40%,14.50%,19.20%,52.10%,11.30%,SF,4.90%,-,-,6' 5.75'',6' 7.5'',8' 10'',210,6' 11.5''
Thanasis Antetokounmpo,MIL,27,6'6,219,None,Greece,2014,2,51,18,2.5,1.1,0.5,12.6,11.00%,7.30%,21.90%,52.80%,15.80%,SF,6.05%,9,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0''
Theo Pinson,NYK,24,6'5,212,None,USA,Undrafted,Undrafted,Undrafted,33,3.6,1.6,1.7,4.6,2.40%,10.10%,21.80%,37.00%,24.00%,SG-SF,7.35%,9,9,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75''
Thomas Bryant,WAS,22,6'10,248,Indiana,USA,2017,2,42,38,12.1,6.8,1.9,7.0,8.10%,20.20%,18.00%,65.90%,11.20%,PF-C,9.40%,9.5,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6''
Thon Maker,DET,23,7'0,221,None,South Sudan,2016,1,10,60,4.7,2.8,0.7,8.0,6.90%,15.20%,16.00%,58.20%,8.80%,PF,6.05%,8.75,9.5,6' 11.75'',7' 0.75'',9' 2.5'',216,7' 3''
Tim Hardaway Jr.,DAL,28,6'5,205,Michigan,USA,2013,1,24,63,15.8,3.1,2.0,8.0,1.20%,8.60%,20.90%,58.10%,10.00%,SG,6.05%,8,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7''
Tobias Harris,PHI,27,6'8,226,Tennessee,USA,2011,1,19,65,19.4,6.8,3.2,3.0,2.40%,17.10%,23.40%,55.70%,14.50%,SF-PF,8.40%,8.75,9,6' 6.5'',6' 7.75'',8' 7.5'',222.8,6' 11''
Tomas Satoransky,CHI,28,6'7,210,None,Czech Republi...,2012,2,32,65,9.9,3.9,5.4,1.5,4.00%,10.10%,16.50%,53.30%,26.90%,PG-SG,5.20%,8.5,9.5,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25''
Tony Bradley,UTA,22,6'10,248,North Carolina,USA,2017,1,28,50,4.7,4.3,0.3,3.3,16.00%,22.00%,15.00%,67.50%,4.60%,C,12.00%,9.5,9.5,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5''
Tony Snell,DET,28,6'6,213,,USA,2013,1,20,59,8.0,1.9,2.2,5.5,0.50%,6.40%,11.00%,59.80%,11.00%,SF-SG,4.85%,9,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5''
Trae Young,ATL,21,6'1,180,Oklahoma,USA,2018,1,5,60,29.6,4.3,9.3,4.9,1.40%,10.00%,33.90%,59.50%,42.30%,PG,5.35%,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3''
Tremont Waters,BOS,22,5'10,175,Louisiana State,USA,2019,2,51,10,3.3,0.9,1.2,14.8,0.00%,8.90%,21.60%,43.80%,18.50%,PG,6.60%,8,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25''
Treveon Graham,ATL,26,6'5,219,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,55,4.4,2.7,0.8,6.2,5.00%,9.90%,13.00%,45.60%,6.90%,SF,5.50%,8.5,8.25,6' 4'',6' 5.75'',8' 7'',219.4,6' 10.5''
Trevor Ariza,POR,35,6'8,215,UCLA,USA,2004,2,43,53,8.0,4.6,1.7,0.3,2.20%,13.70%,11.70%,59.30%,8.10%,SG-SF,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201,7' 2''
Trey Burke,DAL,27,6'0,185,Michigan,USA,2013,1,9,25,5.9,1.4,2.1,4.8,4.50%,6.10%,18.80%,54.50%,23.80%,PG,6.90%,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187,6' 5.5''
Trey Lyles,SAS,24,6'9,234,Kentucky,USA,2015,1,12,63,6.4,5.7,1.1,2.4,5.60%,22.80%,13.60%,55.70%,7.20%,PF,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5''
Tristan Thompson,CLE,29,6'9,254,Texas,Canada,2011,1,4,57,12.0,10.1,2.1,10.1,12.60%,20.70%,18.10%,54.00%,10.60%,PF,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25''
Ty Jerome,PHX,22,6'5,195,Virginia,USA,2019,1,24,28,3.5,1.5,1.5,14.9,1.70%,11.50%,16.60%,43.70%,22.50%,PG,6.50%,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
Tyler Cook,DEN,22,6'8,255,None,USA,Undrafted,Undrafted,Undrafted,11,1.7,0.9,0.1,12.5,10.50%,18.80%,16.90%,75.20%,5.00%,PF,6.10%,9.5,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5''
Tyler Herro,MIA,20,6'5,195,Kentucky,USA,2019,1,13,47,12.9,4.0,1.9,1.7,1.10%,12.60%,21.00%,53.40%,11.60%,SG,7.10%,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25''
Tyson Chandler,HOU,37,7'0,235,None,USA,2001,1,2,26,1.3,2.5,0.2,5.7,9.70%,17.20%,5.70%,71.70%,3.70%,SF-PF,6.70%,-,-,6' 11.5'',,9' 2'',224,7' 3''
Tyus Jones,MEM,24,6'0,196,Duke,USA,2015,1,24,65,7.4,1.6,4.4,2.3,0.70%,7.10%,16.50%,53.20%,31.40%,PG,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5''
Udonis Haslem,MIA,40,6'8,235,Florida,USA,Undrafted,Undrafted,Undrafted,3,1.7,2.7,0.3,30.6,0.00%,42.10%,18.20%,32.20%,10.00%,PF,-%,-,-,6' 7.75'',,8' 11'',250,6' 11''
Victor Oladipo,IND,28,6'4,213,Indiana,USA,2013,1,2,13,13.8,3.2,3.0,0.5,2.10%,9.40%,26.50%,50.00%,17.60%,SG,6.55%,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25''
Wayne Ellington,NYK,32,6'4,207,North Carolina,USA,2009,1,28,36,5.1,1.8,1.2,3.1,0.70%,10.40%,14.60%,50.90%,11.70%,SG,5.50%,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5''
Will Barton,DEN,29,6'5,181,Memphis,USA,2012,2,40,58,15.1,6.3,3.7,5.8,4.00%,14.70%,19.70%,54.90%,15.70%,SG-SF,4.10%,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75''
Zach Collins,POR,22,6'11,250,Gonzaga,USA,2017,1,10,3,9.0,4.0,2.0,13.1,5.60%,8.20%,13.90%,62.40%,8.30%,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1''
Zach LaVine,CHI,25,6'6,200,UCLA,USA,2014,1,13,60,25.5,4.8,4.2,4.4,1.90%,12.50%,31.20%,56.80%,21.80%,PG,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25''
Zach Norvell Jr.,LAL,22,6'5,205,None,USA,Undrafted,Undrafted,Undrafted,5,2.0,1.2,0.6,32.3,0.00%,20.70%,14.70%,40.20%,9.10%,SG,7.50%,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6''
Zhaire Smith,PHI,21,6'3,205,Texas Tech,USA,2018,1,16,7,1.1,0.3,0.3,12.3,0.00%,8.00%,16.50%,31.30%,8.30%,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
Zion Williamson,NOP,19,6'6,284,Duke,USA,2019,1,1,19,23.6,6.8,2.2,10.4,9.30%,11.40%,28.20%,62.40%,11.10%,PF,-%,-,-,,,,-,
