PLAYER,TEAM,AGE,HEIGHT,WEIGHT,
Chandler Parsons,ATL,31,6'9,230,
Charles Brown Jr.,ATL,23,6'6,199,
Chasson Randle,GSW,27,6'2,185,
Cheick Diallo,PHX,23,6'8,219,
Chimezie Metu,SAS,23,6'9,225,
Chris Boucher,TOR,27,6'9,200,
Chris Chiozza,BKN,24,5'11,175,
Chris Clemons,HOU,22,5'9,180,
Chris Paul,OKC,35,6'1,175,
Chris Silva,MIA,23,6'8,234,
Christian Wood,DET,24,6'10,214,
Clint Capela,ATL,26,6'10,240,
Coby White,CHI,20,6'4,195,
Cody Martin,CHA,24,6'5,205,
Cody Zeller,CHA,27,7'0,240,
Collin Sexton,CLE,21,6'1,190,
Cory Joseph,SAC,28,6'3,200,
Courtney Lee,DAL,34,6'5,215,
Cristiano Felicio,CHI,27,6'10,270,
D'Angelo Russell,MIN,24,6'4,193,
D.J. Augustin,ORL,32,5'11,183,
D.J. Wilson,MIL,24,6'10,231,
DaQuan Jeffries,SAC,22,6'5,230,
Damian Jones,ATL,25,6'11,245,
Damian Lillard,POR,29,6'2,195,
Damion Lee,GSW,27,6'5,210,
Damyean Dotson,NYK,26,6'5,210,
Daniel Gafford,CHI,21,6'10,234,
Daniel Theis,BOS,28,6'8,245,
Danilo Gallinari,OKC,31,6'10,233,
Danny Green,LAL,33,6'6,215,
Dante Exum,CLE,24,6'5,214,
Danuel House Jr.,HOU,27,6'6,220,
Dario Saric,PHX,26,6'10,225,
Darius Bazley,OKC,20,6'8,208,
Darius Garland,CLE,20,6'1,192,
Daryl Macon,MIA,24,6'2,185,
David Nwaba,HOU,27,6'5,219,
Davis Bertans,WAS,27,6'10,225,
De'Aaron Fox,SAC,22,6'3,185,
De'Andre Hunter,ATL,22,6'7,225,
De'Anthony Melton,MEM,22,6'2,200,
DeAndre Jordan,BKN,31,6'11,265,
DeAndre' Bembry,ATL,25,6'5,210,
DeMar DeRozan,SAS,30,6'6,220,
DeMarre Carroll,HOU,33,6'6,215,
Dean Wade,CLE,23,6'9,228,
Deandre Ayton,PHX,21,6'11,250,
Dejounte Murray,SAS,23,6'4,180,
Delon Wright,DAL,28,6'5,185,
Dennis Schroder,OKC,26,6'1,172,
Dennis Smith Jr.,NYK,22,6'2,205,
Denzel Valentine,CHI,26,6'4,220,
Deonte Burton,OKC,26,6'4,240,
Derrick Favors,NOP,28,6'9,265,
Derrick Jones Jr.,MIA,23,6'6,210,
Derrick Rose,DET,31,6'2,200,
Derrick Walton Jr.,LAC,25,6'0,185,
Derrick White,SAS,25,6'4,190,
Devin Booker,PHX,23,6'5,206,
Devon Hall,OKC,24,6'5,215,
Devonte' Graham,CHA,25,6'1,195,
Dewan Hernandez,TOR,23,6'10,235,
Dewayne Dedmon,ATL,30,7'0,245,
Dillon Brooks,MEM,24,6'7,225,
Dion Waiters,LAL,28,6'3,210,
Domantas Sabonis,IND,24,6'11,240,
Donovan Mitchell,UTA,23,6'1,215,
Donta Hall,BKN,22,6'9,229,
Donte DiVincenzo,MIL,23,6'4,203,
Dorian Finney'Smith,DAL,27,6'7,220,
Doug McDermott,IND,28,6'7,225,
Dragan Bender,MIL,22,7'0,249,
Draymond Green,GSW,30,6'6,230,
Drew Eubanks,SAS,23,6'9,245,
Duncan Robinson,MIA,26,6'7,215,
Dusty Hannahs,MEM,26,6'3,210,
Dwayne Bacon,CHA,24,6'6,221,
Dwight Howard,LAL,34,6'10,265,
Dwight Powell,DAL,28,6'10,240,
Dzanan Musa,BKN,21,6'9,217,
E'Twaun Moore,NOP,31,6'3,191,
Ed Davis,UTA,31,6'9,218,
