PLAYER,TEAM,AGE,HEIGHT,WEIGHT,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Carsen Edwards,BOS,22,5'11,200,PG,5.50%,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6''
Chandler Parsons,ATL,31,6'9,230,SF,7.00%,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5''
Chasson Randle,GSW,27,6'2,185,PG,4.50%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0.5'',178.8,6' 7''
Cheick Diallo,PHX,23,6'8,219,PF,5.60%,8.5,9.75,6' 7.5'',6' 9'',8' 11.5'',218.6,7' 4.5''
Chimezie Metu,SAS,23,6'9,225,PF-C,5.05%,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5''
Chris Boucher,TOR,27,6'9,200,PF,5.40%,9.25,10.5,6' 8'',6' 9.5'',9' 2.5'',182.2,7' 4''
Chris Paul,OKC,35,6'1,175,PG,-%,-,-,5' 11.75'',6' 1'',7' 9'',178,6' 4.25''
Christian Wood,DET,24,6'10,214,PF,14.70%,9.25,10.75,6' 9.25'',6' 10.5'',9' 3.5'',216,7' 3.25''
Coby White,CHI,20,6'4,195,PG,4.30%,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5''
Cody Martin,CHA,24,6'5,205,PG-SG,5.00%,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25''
Cody Zeller,CHA,27,7'0,240,C-PF,4.75%,8.5,10.5,6' 10.75'',7' 0.25'',8' 10'',230,6' 10.75''
Collin Sexton,CLE,21,6'1,190,PG,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25''
Cory Joseph,SAC,28,6'3,200,PG,9.70%,8.5,10.5,6' 2'',6' 3.25'',8' 3'',186.2,6' 5.5''
D.J. Augustin,ORL,32,5'11,183,PG,8.10%,-,-,5' 10'',5' 11.5'',7' 10.5'',171.5,6' 3.5''
D.J. Wilson,MIL,24,6'10,231,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3''
DaQuan Jeffries,SAC,22,6'5,230,SF-PF,3.90%,9.5,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25''
Damian Jones,ATL,25,6'11,245,C,6.55%,8.75,10.5,6' 10.25'',6' 11.5'',8' 11'',243.6,7' 3.75''
Damian Lillard,POR,29,6'2,195,PG,5.90%,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75''
Damyean Dotson,NYK,26,6'5,210,SG-SF,5.30%,8.5,9.25,6' 4.5'',6' 5.5'',8' 4'',205.2,6' 9''
Daniel Gafford,CHI,21,6'10,234,PF,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25''
Danny Green,LAL,33,6'6,215,SG-SF,5.60%,-,-,6' 5.25'',6' 6.5'',8' 7'',208,6' 10''
Dante Exum,CLE,24,6'5,214,SG,6.40%,8.5,9.5,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5''
Darius Bazley,OKC,20,6'8,208,PF,3.60%,9,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0''
Darius Garland,CLE,20,6'1,192,PG,-%,-,-,,,,-,
De'Andre Hunter,ATL,22,6'7,225,,-%,-,-,,,,-,
DeAndre Jordan,BKN,31,6'11,265,C,7.50%,-,-,6' 9.75'',6' 11'',9' 5.5'',250,7' 6''
DeMar DeRozan,SAS,30,6'6,220,SG-SF,4.90%,-,-,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9''
DeMarre Carroll,HOU,33,6'6,215,PF-SF,6.30%,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10''
Delon Wright,DAL,28,6'5,185,PG,6.60%,8,8.5,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5'
Dennis Schroder,OKC,26,6'1,172,PG,4.10%,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75''
Denzel Valentine,CHI,26,6'4,220,SG-SF,9.20%,8.5,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75''
Deonte Burton,OKC,26,6'4,240,PG,7.65%,8.25,8,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7''
Derrick Favors,NOP,28,6'9,265,PF,6.50%,8.75,9.25,6' 8.75'',6' 10.25'',9' 2'',245.2,7' 4''
Derrick Rose,DET,31,6'2,200,PG,4.60%,-,-,6' 1.5'',6' 2.5'',8' 2.5'',196,6' 8''
Derrick Walton Jr.,LAC,25,6'0,185,PG,5.80%,8,8.5,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
Derrick White,SAS,25,6'4,190,PG,6.20%,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
Devin Booker,PHX,23,6'5,206,SG,8.30%,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25''
Devon Hall,OKC,24,6'5,215,SG,8.45%,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
