PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Anzejs Pasecniks,WAS,24,2-Jul,229,None,Latvia,2017,1,25,24,6,4.1,0.7,0.4,8.50%,15.10%,15.10%,55.50%,5.90%
Aron Baynes,PHX,33,10-Jun,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,42,11.5,5.6,1.6,-1.5,7.50%,17.80%,20.50%,58.10%,10.80%
Austin Rivers,HOU,27,3-Jun,200,Duke,USA,2012,1,10,60,8.5,2.4,1.6,4.1,1.60%,7.90%,14.60%,53.80%,9.30%
Avery Bradley,LAL,29,3-Jun,180,Texas,USA,2010,1,19,49,8.6,2.3,1.3,7.4,1.50%,7.70%,15.30%,53.70%,7.00%
BJ Johnson,ORL,24,7-Jun,200,None,USA,Undrafted,Undrafted,Undrafted,8,1.6,0.8,0.3,-24.3,1.70%,9.30%,18.20%,34.40%,9.50%
Bam Adebayo,MIA,22,9-Jun,255,Kentucky,USA,2017,1,14,65,16.2,10.5,5.1,4.6,7.80%,22.40%,20.80%,60.60%,23.20%
Ben McLemore,HOU,27,3-Jun,195,Kansas,USA,2013,1,7,63,9.8,2.2,0.9,6.7,1.30%,7.70%,15.40%,62.20%,5.10%
Ben Simmons,PHI,23,10-Jun,240,Louisiana State,Australia,2016,1,1,54,16.7,7.8,8.2,2.2,5.40%,15.80%,20.50%,60.80%,34.00%
Bismack Biyombo,CHA,27,8-Jun,255,None,Democratic Re...,2011,1,7,53,7.4,5.8,0.9,-6.6,11.20%,17.80%,16.80%,57.00%,7.90%
Blake Griffin,DET,31,9-Jun,250,Oklahoma,USA,2009,1,1,18,15.5,4.7,3.3,-2.6,3.20%,12.80%,27.70%,47.60%,18.40%
Boban Marjanovic,DAL,31,4-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,37,6.3,4.1,0.4,8.6,15.60%,28.40%,26.40%,59.90%,5.90%
Bobby Portis,NYK,25,10-Jun,250,Arkansas,USA,2015,1,22,66,10.1,5.1,1.5,-7.9,5.30%,18.00%,20.70%,53.00%,11.20%
Bogdan Bogdanovic,SAC,27,6-Jun,220,None,Serbia,2014,1,27,53,14.5,3.2,3.2,-2.2,1.10%,10.30%,22.00%,56.00%,18.00%
Bojan Bogdanovic,UTA,31,8-Jun,226,None,Croatia,2011,2,31,63,20.2,4.1,2.1,5.5,2.00%,10.00%,25.20%,60.30%,9.90%
Brad Wanamaker,BOS,30,3-Jun,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,63,6.6,2,2.5,2.9,1.50%,7.90%,15.20%,56.00%,18.40%
Bradley Beal,WAS,27,3-Jun,207,Florida,USA,2012,1,3,57,30.5,4.2,6.1,-4.5,2.40%,9.50%,33.80%,57.90%,28.50%
Brandon Clarke,MEM,23,8-Jun,215,Gonzaga,Canada,2019,1,21,50,12,5.8,1.4,1.1,6.90%,17.70%,18.30%,67.00%,9.70%
Brandon Goodwin,ATL,24,Jun-00,180,None,USA,Undrafted,Undrafted,Undrafted,34,6.1,2.1,1.5,-13.8,2.30%,13.20%,22.00%,50.70%,20.80%
Brandon Ingram,NOP,22,7-Jun,190,Duke,USA,2016,1,2,56,24.3,6.3,4.3,-0.3,2.40%,14.40%,27.60%,59.00%,19.50%
Brandon Knight,DET,28,2-Jun,182,Kentucky,USA,2011,1,8,25,7.3,1.6,2.8,-7.6,0.90%,9.30%,20.70%,50.30%,21.60%
Brian Bowen II,IND,21,6-Jun,190,None,USA,Undrafted,Undrafted,Undrafted,5,0.8,1.4,0,18.6,3.30%,18.20%,13.90%,22.20%,0.00%
Brook Lopez,MIL,32,Jul-00,282,Stanford,USA,2008,1,10,61,11,4.5,1.6,12.4,2.50%,11.90%,17.30%,53.70%,7.60%
Bruce Brown,DET,23,4-Jun,202,Miami,USA,2018,2,42,58,8.9,4.7,4,-4.3,3.80%,13.10%,15.90%,51.80%,20.80%
