PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Gabe Vincent,MIA,24,3-Jun,200,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,6,2,0.5,0.5,-6.9,0.00%,7.00%,19.40%,31.60%,12.50%
Garrett Temple,BKN,34,5-Jun,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,55,10.3,3.5,2.6,-1.6,1.60%,9.10%,16.10%,50.70%,13.50%
Garrison Mathews,WAS,23,5-Jun,215,None,USA,Undrafted,Undrafted,Undrafted,18,5.4,1.3,0.6,7.1,2.50%,7.50%,13.70%,69.10%,6.30%
Gary Clark,ORL,25,6-Jun,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,35,3.2,2.4,0.4,-1.6,5.50%,12.40%,10.30%,53.40%,5.00%
Gary Harris,DEN,25,4-Jun,210,Michigan State,USA,2014,1,19,56,10.4,2.9,2.1,3.4,1.50%,7.70%,15.00%,51.90%,9.10%
Gary Payton II,WAS,27,3-Jun,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,29,3.9,2.8,1.7,-14.3,5.30%,12.70%,12.90%,47.30%,15.80%
Gary Trent Jr.,POR,21,5-Jun,209,Duke,USA,2018,2,37,53,7.7,1.7,0.9,-4.4,1.70%,5.80%,15.10%,55.50%,6.70%
George Hill,MIL,34,3-Jun,188,None,USA,2008,1,26,52,9.6,3,2.9,11.5,3.90%,8.50%,15.50%,66.80%,18.90%
Georges Niang,UTA,27,7-Jun,230,Iowa State,USA,2016,2,50,58,5.8,1.9,0.6,-1.2,1.50%,11.90%,16.20%,61.20%,6.60%
Giannis Antetokounmpo,MIL,25,11-Jun,242,None,Greece,2013,1,15,57,29.6,13.7,5.8,16.1,6.90%,30.50%,36.20%,60.80%,33.00%
Glenn Robinson III,PHI,26,6-Jun,222,Michigan,USA,2014,2,40,60,11.8,4.3,1.6,-7.9,4.20%,10.40%,16.00%,57.60%,8.30%
Goga Bitadze,IND,20,11-Jun,250,None,Georgia,2019,1,18,49,3.1,2,0.4,-2.6,5.30%,15.50%,17.30%,53.00%,7.10%
Goran Dragic,MIA,34,3-Jun,190,None,Slovenia,2008,2,45,54,16.1,3.1,5.1,2.3,1.70%,8.60%,24.70%,57.10%,29.30%
Gordon Hayward,BOS,30,7-Jun,225,Butler,USA,2010,1,9,45,17.3,6.5,4.1,8,2.90%,15.60%,20.40%,59.30%,18.00%
Gorgui Dieng,MEM,30,10-Jun,252,Louisville,Senegal,2013,1,21,58,7.4,5.8,1.2,-3.9,7.60%,22.70%,17.60%,56.40%,11.50%
Grant Williams,BOS,21,6-Jun,236,Tennessee,USA,2019,1,22,62,3.5,2.7,1,7.4,5.60%,10.30%,11.00%,50.80%,8.40%
Grayson Allen,MEM,24,4-Jun,198,Duke,USA,2018,1,21,30,7.4,2.2,1.4,-6.5,0.90%,11.80%,17.30%,57.70%,11.90%
Hamidou Diallo,OKC,21,5-Jun,202,Kentucky,USA,2018,2,45,38,6.1,3.2,0.6,1.9,4.00%,11.90%,16.40%,48.80%,4.50%
Harrison Barnes,SAC,28,8-Jun,225,North Carolina,USA,2012,1,7,64,14.7,4.8,2.4,-1.2,2.70%,10.80%,17.20%,57.50%,9.80%
Harry Giles III,SAC,22,11-Jun,240,Duke,USA,2017,1,20,38,7,4.2,1.3,-7.7,5.80%,24.40%,19.70%,58.60%,12.80%
Hassan Whiteside,POR,31,Jul-00,265,Marshall,USA,2010,2,33,61,16.3,14.2,1.2,2.3,12.30%,29.60%,19.50%,64.10%,5.80%
Henry Ellenson,BKN,23,10-Jun,240,Marquette,USA,2016,1,18,5,0.4,1.2,0.2,27.3,11.10%,19.00%,15.90%,14.30%,12.50%
Ian Mahinmi,WAS,33,11-Jun,262,None,France,2005,1,28,38,7.4,5.7,1.3,-4.5,8.90%,17.60%,15.40%,54.50%,8.40%
Ignas Brazdeikis,NYK,21,6-Jun,221,Michigan,Lithuania,2019,2,47,9,1.9,0.6,0.4,-7.1,3.60%,6.80%,21.80%,35.10%,11.40%
Iman Shumpert,BKN,30,5-Jun,212,Georgia Tech,USA,2011,1,17,13,4.2,2.6,0.9,-9,3.50%,9.20%,13.40%,40.30%,7.80%
Isaac Bonga,WAS,20,8-Jun,180,None,Germany,2018,2,39,58,4.6,3.2,1.1,1.9,5.60%,12.10%,10.00%,62.70%,7.60%
Isaiah Hartenstein,HOU,22,Jul-00,250,None,Germany,2017,2,43,23,4.7,3.9,0.8,8.7,10.70%,20.00%,14.40%,67.40%,9.50%
Isaiah Roby,OKC,22,8-Jun,230,University of Nebraska-Lincoln,USA,2019,2,45,3,0,0.7,0,-11.5,0.00%,16.70%,7.10%,0.00%,0.00%
Isaiah Thomas,WAS,31,9-May,185,Washington,USA,2011,2,60,40,12.2,1.7,3.7,-10.4,1.10%,6.30%,23.60%,53.10%,22.40%
Ish Smith,WAS,31,Jun-00,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,60,10.5,3.2,4.8,-3.5,1.60%,10.00%,17.80%,51.20%,25.50%
Ivica Zubac,LAC,23,Jul-00,240,None,Croatia,2016,2,32,64,8,7.2,1.1,7.9,13.40%,23.30%,16.20%,64.20%,8.80%
J.J. Barea,DAL,36,10-May,180,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,26,7.5,1.8,3.8,5.5,2.50%,9.80%,24.50%,51.90%,36.70%
J.P. Macura,CLE,25,4-Jun,203,Xavier,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,150,0.00%,0.00%,0.00%,0.00%,0.00%
JJ Redick,NOP,36,3-Jun,200,Duke,USA,2006,1,11,54,14.9,2.6,2,-0.2,0.60%,8.60%,19.30%,63.90%,10.60%
Ja Morant,MEM,20,3-Jun,174,Murray State,USA,2019,1,2,59,17.6,3.5,6.9,-0.4,2.50%,8.20%,25.80%,56.80%,34.80%
JaKarr Sampson,IND,27,7-Jun,214,"St. John's, N.Y.",USA,Undrafted,Undrafted,Undrafted,26,4.2,2.3,0.3,2.1,4.60%,12.70%,12.00%,60.70%,3.30%
JaMychal Green,LAC,30,8-Jun,227,Alabama,USA,Undrafted,Undrafted,Undrafted,55,6.5,6.3,0.8,5.3,6.10%,21.00%,12.90%,55.40%,5.10%
JaVale McGee,LAL,32,Jul-00,270,Nevada-Reno,USA,2008,1,18,61,6.8,5.8,0.6,8.9,11.00%,21.60%,14.60%,65.50%,4.40%
Jabari Parker,SAC,25,8-Jun,245,Duke,USA,2014,1,2,33,14.7,5.9,1.8,-7.7,6.10%,16.90%,23.40%,56.10%,10.80%
Jacob Evans,MIN,23,4-Jun,210,Cincinnati,USA,2018,1,28,29,4.4,1.4,1.1,-11,1.90%,7.70%,16.70%,43.60%,12.00%
Jae Crowder,MIA,29,6-Jun,235,Marquette,USA,2012,2,34,58,10.4,6.1,2.6,-3.7,2.70%,17.10%,15.30%,53.20%,12.00%
Jahlil Okafor,NOP,24,10-Jun,270,Duke,USA,2015,1,3,28,7.6,4.3,1.3,-11.8,9.70%,16.40%,19.30%,63.10%,13.00%
Jake Layman,MIN,26,8-Jun,209,Maryland,USA,2016,2,47,23,9.1,2.5,0.7,2,3.00%,7.50%,16.50%,54.40%,4.10%
Jakob Poeltl,SAS,24,1-Jul,245,Utah,Austria,2016,1,9,58,5.3,5.3,1.8,3.9,10.20%,19.80%,12.50%,61.10%,13.60%
Jalen Brunson,DAL,23,1-Jun,190,Villanova,USA,2018,2,33,57,8.2,2.4,3.3,7.6,2.10%,10.00%,19.90%,55.30%,26.50%
Jalen Lecque,PHX,20,4-Jun,185,None,USA,Undrafted,Undrafted,Undrafted,4,2.5,0,0.5,-29.1,0.00%,0.00%,21.40%,46.00%,13.30%
Jalen McDaniels,CHA,22,10-Jun,205,San Diego State,USA,2019,2,52,16,5.6,4.1,0.8,-3.6,5.00%,17.20%,13.10%,57.40%,6.90%
Jamal Murray,DEN,23,4-Jun,215,Kentucky,Canada,2016,1,7,55,18.8,3.9,4.8,5.9,2.40%,9.70%,24.80%,55.90%,22.50%
James Ennis III,ORL,29,6-Jun,215,Cal State-Long Beach,USA,2013,2,50,61,6,3.3,0.9,0,5.60%,13.10%,14.40%,55.70%,6.80%
James Harden,HOU,30,5-Jun,220,Arizona State,USA,2009,1,3,61,34.4,6.4,7.4,5.6,2.60%,13.20%,35.80%,61.60%,35.60%
James Johnson,MIN,33,7-Jun,240,Wake Forest,USA,2009,1,16,32,8.4,3.7,2.3,-4.6,3.80%,14.50%,18.60%,57.20%,17.70%
Jared Dudley,LAL,34,6-Jun,237,Boston College,USA,2007,1,22,40,1.5,1.1,0.5,2.5,1.60%,11.30%,8.00%,57.00%,8.60%
Jared Harper,NYK,22,10-May,175,None,USA,Undrafted,Undrafted,Undrafted,3,0.7,0,0,-61.1,0.00%,0.00%,22.20%,25.00%,0.00%
Jaren Jackson Jr.,MEM,20,11-Jun,242,Michigan State,USA,2018,1,4,54,16.9,4.7,1.4,-3.1,3.40%,12.40%,23.70%,59.00%,7.60%
Jarred Vanderbilt,MIN,21,9-Jun,214,Kentucky,USA,2018,2,41,11,1.1,0.8,0.2,-23.4,6.50%,14.30%,13.30%,67.60%,5.70%
Jarrell Brantley,UTA,24,5-Jun,250,College of Charleston,USA,2019,2,50,5,0,1,0.2,2.6,0.00%,31.30%,5.70%,0.00%,10.00%
Jarrett Allen,BKN,22,11-Jun,243,Texas,USA,2017,1,22,64,10.6,9.5,1.3,0.5,10.90%,22.80%,14.80%,65.80%,7.50%
Jarrett Culver,MIN,21,6-Jun,195,Texas Tech,USA,2019,1,6,63,9.2,3.4,1.7,-3.3,4.10%,9.20%,18.70%,46.70%,10.50%
Jarrod Uthoff,WAS,27,9-Jun,220,Iowa,USA,Undrafted,Undrafted,Undrafted,4,1,0.3,0,24.4,7.10%,0.00%,20.50%,25.40%,0.00%
Javonte Green,BOS,26,4-Jun,205,Radford University,USA,Undrafted,Undrafted,Undrafted,44,2.9,1.8,0.5,-0.1,4.40%,13.50%,13.30%,55.80%,7.60%
Jaxson Hayes,NOP,20,11-Jun,220,Texas,USA,2019,1,8,56,7.5,4,0.9,-2.1,8.10%,13.70%,14.80%,67.50%,7.70%
Jaylen Brown,BOS,23,6-Jun,223,California,USA,2016,1,3,50,20.4,6.4,2.2,6.5,3.10%,14.80%,24.50%,58.90%,10.00%
Jaylen Hoard,POR,21,8-Jun,216,None,France,Undrafted,Undrafted,Undrafted,13,2.9,2.5,0.3,3,11.10%,15.80%,15.30%,50.40%,5.40%
Jaylen Nowell,MIN,20,4-Jun,201,Washington,USA,2019,2,43,15,3.8,0.9,1.3,1.2,1.60%,6.50%,16.50%,47.10%,19.40%
Jayson Tatum,BOS,22,8-Jun,210,Duke,USA,2017,1,3,59,23.6,7.1,2.9,10.3,2.60%,16.80%,27.90%,56.20%,13.80%
Jeff Green,HOU,33,8-Jun,235,Georgetown,USA,2007,1,5,40,8.4,2.8,0.8,-2.7,3.00%,11.20%,18.50%,57.50%,6.50%
Jeff Teague,ATL,32,3-Jun,195,Wake Forest,USA,2009,1,19,59,10.9,2.4,5.2,-5.7,1.70%,7.40%,19.20%,55.70%,30.60%
Jerami Grant,DEN,26,8-Jun,210,Syracuse,USA,2014,2,39,64,11.6,3.5,1.2,-2.1,3.20%,10.20%,17.60%,58.50%,6.90%
Jeremiah Martin,BKN,24,2-Jun,185,Memphis,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.7,5.9,0.00%,10.00%,13.90%,20.00%,15.40%
Jeremy Lamb,IND,28,5-Jun,180,Connecticut,USA,2012,1,12,46,12.5,4.3,2.1,-0.9,1.90%,13.50%,19.50%,54.70%,10.70%
Jeremy Pargo,GSW,34,2-Jun,219,Gonzaga,USA,Undrafted,Undrafted,Undrafted,3,8.3,1,2.7,2.4,2.40%,4.80%,26.80%,55.70%,30.80%
Jerome Robinson,WAS,23,4-Jun,190,Boston College,USA,2018,1,13,55,3.7,1.9,1.2,2.2,1.10%,11.50%,13.90%,43.90%,11.70%
Jevon Carter,PHX,24,1-Jun,200,West Virginia,USA,2018,2,32,50,4.6,2,1.3,-3.8,3.30%,9.50%,13.80%,53.50%,12.90%
Jimmy Butler,MIA,30,7-Jun,230,Marquette,USA,2011,1,30,54,20.2,6.6,6.1,4.9,5.40%,13.70%,24.80%,58.30%,28.40%
Joe Chealey,CHA,24,4-Jun,190,College of Charleston,USA,Undrafted,Undrafted,Undrafted,4,0.5,0,0.3,-23.4,0.00%,0.00%,12.80%,12.70%,6.30%
Joe Harris,BKN,28,6-Jun,220,Virginia,USA,2014,2,33,63,13.9,4.3,2.1,1.6,2.80%,10.00%,17.60%,59.20%,9.80%
Joe Ingles,UTA,32,7-Jun,220,None,Australia,Undrafted,Undrafted,Undrafted,64,9.8,4,5.2,5.8,1.20%,11.40%,14.70%,58.80%,24.00%
Joel Embiid,PHI,26,Jul-00,280,Kansas,Cameroon,2014,1,3,44,23.4,11.8,3.1,4.8,8.90%,27.80%,31.30%,59.30%,18.50%
John Collins,ATL,22,9-Jun,235,Wake Forest,USA,2017,1,19,41,21.6,10.1,1.5,-5.1,8.00%,20.80%,22.40%,65.90%,7.50%
John Henson,DET,29,9-Jun,219,North Carolina,USA,2012,1,14,40,5.5,4.1,1.4,-0.7,7.70%,19.10%,16.00%,57.80%,13.30%
John Konchar,MEM,24,5-Jun,210,None,USA,Undrafted,Undrafted,Undrafted,15,3.4,3.1,1.4,4.8,9.90%,16.10%,9.80%,71.10%,16.70%
Johnathan Motley,LAC,25,8-Jun,230,Baylor,USA,Undrafted,Undrafted,Undrafted,13,2.2,0.8,0.6,5.7,7.70%,18.90%,23.50%,77.40%,30.80%
Johnathan Williams,WAS,25,9-Jun,228,Gonzaga,USA,Undrafted,Undrafted,Undrafted,11,3.2,3.9,0.5,-17.9,9.90%,19.90%,9.20%,64.30%,6.70%
Jonah Bolden,PHI,24,8-Jun,225,None,Australia,2017,2,36,7,1.4,1.3,0,-3.2,6.40%,14.00%,13.00%,39.20%,0.00%
Jonas Valanciunas,MEM,28,11-Jun,265,None,Lithuania,2011,1,5,62,14.9,11.2,1.8,0.4,11.10%,27.70%,21.00%,63.10%,10.20%
Jonathan Isaac,ORL,22,11-Jun,230,Florida State,USA,2017,1,6,32,12,6.9,1.4,0.3,5.70%,17.40%,18.10%,54.20%,7.00%
Jordan Bell,CLE,25,8-Jun,216,Oregon,USA,2017,2,38,29,3.2,2.8,0.6,-1.6,11.00%,18.70%,15.90%,57.70%,9.00%
Jordan Bone,DET,22,3-Jun,180,Tennessee,USA,2019,2,57,10,1.2,0.4,0.8,-2.9,0.00%,9.10%,17.10%,30.00%,23.50%
Jordan Clarkson,UTA,28,4-Jun,194,Missouri,USA,2014,2,46,63,15.1,2.7,2,0.4,3.00%,7.60%,24.60%,58.30%,13.10%
Jordan McLaughlin,MIN,24,11-May,185,USC,USA,Undrafted,Undrafted,Undrafted,30,7.6,1.6,4.2,-5.8,1.00%,7.90%,15.10%,58.70%,30.30%
Jordan McRae,DET,29,5-Jun,179,Tennessee,USA,2014,2,58,37,11.5,3.4,2.5,-4.1,2.20%,13.90%,23.90%,51.50%,17.40%
Jordan Poole,GSW,21,4-Jun,194,Michigan,USA,2019,1,28,57,8.8,2.1,2.4,-8.2,0.70%,8.70%,20.00%,45.40%,16.00%
Josh Gray,NOP,26,Jun-00,180,None,USA,Undrafted,Undrafted,Undrafted,2,1,1,1,-14.9,5.30%,4.00%,13.70%,50.00%,15.40%
Josh Hart,NOP,25,5-Jun,215,Villanova,USA,2017,1,30,57,10.2,6.5,1.6,-2.9,3.10%,19.00%,14.90%,55.60%,8.20%
Josh Jackson,MEM,23,8-Jun,207,Kansas,USA,2017,1,4,18,10.4,3.2,1.7,3.3,2.80%,11.70%,21.70%,53.90%,11.80%
Josh Magette,ORL,30,1-Jun,160,Alabama Huntsville,USA,Undrafted,Undrafted,Undrafted,8,1.5,0.8,0.6,2.4,2.20%,12.80%,22.60%,37.80%,23.80%
Josh Okogie,MIN,21,4-Jun,213,Georgia Institute of Technology,Nigeria,2018,1,20,62,8.6,4.3,1.6,-4.7,5.00%,11.40%,14.80%,55.30%,8.90%
Josh Reaves,DAL,23,4-Jun,214,Penn State,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,-100,0.00%,0.00%,33.30%,0.00%,0.00%
Josh Richardson,PHI,26,5-Jun,200,Tennessee,USA,2015,2,40,48,13.8,3.4,3.1,3.8,2.40%,8.00%,20.50%,52.60%,14.70%
Jrue Holiday,NOP,30,3-Jun,205,UCLA,USA,2009,1,17,55,19.6,4.9,6.9,0.6,3.40%,9.60%,24.40%,53.50%,28.90%
Juan Toscano-Anderson,GSW,27,6-Jun,209,None,USA,Undrafted,Undrafted,Undrafted,13,5.3,4,2,-12,3.10%,16.30%,12.50%,52.90%,14.40%
Juancho Hernangomez,MIN,24,9-Jun,214,None,Spain,2016,1,15,48,6,4.1,0.8,-2.3,4.60%,18.40%,14.90%,51.80%,6.30%
Julius Randle,NYK,25,8-Jun,250,Kentucky,USA,2014,1,7,64,19.5,9.7,3.1,-5.9,6.70%,22.30%,27.10%,53.80%,15.80%
Justin Anderson,BKN,26,5-Jun,231,Virginia,USA,2015,1,21,3,1,0.7,0,-25.4,0.00%,9.10%,15.90%,21.80%,0.00%
Justin Holiday,IND,31,6-Jun,180,Washington,USA,Undrafted,Undrafted,Undrafted,65,8.4,3.2,1.3,1.9,1.80%,10.10%,13.00%,59.80%,7.10%
Justin Jackson,DAL,25,7-Jun,220,North Carolina,USA,2017,1,15,58,5.7,2.4,0.8,0.7,2.70%,12.00%,15.30%,49.80%,7.20%
Justin James,SAC,23,7-Jun,190,Wyoming,USA,2019,2,40,34,2.5,0.9,0.5,-1.6,2.60%,11.00%,18.40%,48.70%,11.60%
Justin Patton,DET,23,11-Jun,241,Creighton,USA,2017,1,16,5,1.8,1,0.4,-32,4.20%,17.40%,19.40%,45.00%,11.10%
Justin Robinson,WAS,22,1-Jun,195,None,USA,Undrafted,Undrafted,Undrafted,9,1.4,0.6,0.8,29.9,2.20%,9.80%,13.30%,54.20%,19.40%
Justin Wright-Foreman,UTA,22,Jun-00,190,Hofstra,USA,2019,2,53,1,0,0,0,66.7,0.00%,0.00%,0.00%,0.00%,0.00%
Justise Winslow,MEM,24,6-Jun,222,Duke,USA,2015,1,10,11,11.3,6.6,4,6.4,4.30%,15.40%,19.00%,44.00%,18.30%
Juwan Morgan,UTA,23,7-Jun,232,Indiana,USA,Undrafted,Undrafted,Undrafted,16,1.2,1.2,0.1,14.4,6.80%,16.10%,10.90%,55.90%,3.20%
KZ Okpala,MIA,21,8-Jun,215,Stanford,USA,2019,2,32,5,1.4,1,0.2,-31.7,3.80%,16.00%,10.20%,59.50%,7.70%
Kadeem Allen,NYK,27,1-Jun,200,Arizona,USA,2017,2,53,10,5,0.9,2.1,-10.1,1.60%,6.50%,19.10%,51.20%,25.90%
Karl-Anthony Towns,MIN,24,11-Jun,248,Kentucky,USA,2015,1,1,35,26.5,10.8,4.4,-1.5,7.50%,24.00%,27.80%,64.20%,21.00%
Kawhi Leonard,LAC,29,7-Jun,225,San Diego State,USA,2011,1,15,51,26.9,7.3,5,11.4,3.00%,18.00%,32.80%,58.50%,26.20%
Keita Bates-Diop,DEN,24,8-Jun,229,Ohio State,USA,2018,2,48,39,6.6,2.9,0.8,-10.7,2.70%,12.90%,15.50%,54.10%,7.30%
Kelan Martin,MIN,24,5-Jun,230,None,USA,Undrafted,Undrafted,Undrafted,31,6.4,3.1,0.7,-1.7,2.10%,15.40%,17.10%,50.60%,7.10%
Keldon Johnson,SAS,20,5-Jun,220,Kentucky,USA,2019,1,29,9,4.6,1.9,0.7,13.7,5.50%,12.10%,18.10%,57.90%,9.10%
Kelly Olynyk,MIA,29,11-Jun,240,Gonzaga,Canada,2013,1,13,59,7.7,4.4,1.6,2.9,3.40%,19.20%,15.90%,64.00%,13.00%
Kelly Oubre Jr.,PHX,24,7-Jun,203,Kansas,USA,2015,1,15,56,18.7,6.4,1.5,0.2,3.40%,15.10%,21.90%,56.00%,6.60%
Kemba Walker,BOS,30,Jun-00,184,Connecticut,USA,2011,1,9,50,21.2,4.1,4.9,7.5,2.00%,10.40%,27.30%,56.90%,23.30%
Kendrick Nunn,MIA,24,2-Jun,190,Oakland,USA,Undrafted,Undrafted,Undrafted,62,15.6,2.7,3.4,2.4,1.10%,7.90%,23.30%,54.50%,18.20%
Kenrich Williams,NOP,25,6-Jun,210,None,USA,Undrafted,Undrafted,Undrafted,35,3.8,5.1,1.5,-2.3,5.60%,15.80%,9.00%,43.00%,8.80%
Kent Bazemore,SAC,30,4-Jun,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted,64,8.7,4.3,1.3,1.2,1.40%,14.30%,16.80%,50.00%,7.40%
Kentavious Caldwell-Pope,LAL,27,5-Jun,204,Georgia,USA,2013,1,8,63,9.5,2.1,1.7,5.6,2.20%,5.60%,14.30%,59.20%,8.60%
Kevin Hervey,OKC,23,9-Jun,230,Texas-Arlington,USA,2018,2,57,7,0.3,0.3,0.1,-13.3,0.00%,10.00%,22.00%,9.10%,10.00%
Kevin Huerter,ATL,21,7-Jun,190,Maryland,USA,2018,1,19,56,12.2,4.1,3.8,-6.1,1.90%,10.60%,16.90%,53.60%,17.10%
Kevin Knox II,NYK,20,7-Jun,215,Kentucky,USA,2018,1,9,65,6.4,2.8,0.9,-7.3,2.10%,12.80%,17.20%,47.00%,7.60%
Kevin Love,CLE,31,8-Jun,251,UCLA,USA,2008,1,5,56,17.6,9.8,3.2,-8,3.00%,28.60%,22.50%,59.90%,15.00%
Kevin Porter Jr.,CLE,20,4-Jun,203,USC,USA,2019,1,30,50,10,3.2,2.2,-11.2,1.80%,12.10%,20.20%,53.50%,14.70%
Kevon Looney,GSW,24,9-Jun,222,UCLA,USA,2015,1,30,20,3.4,3.3,1,-18.3,9.80%,15.10%,14.70%,40.30%,12.00%
Khem Birch,ORL,27,9-Jun,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,40,3.8,4.5,0.9,-6.2,8.10%,14.50%,9.20%,52.90%,6.50%
Khris Middleton,MIL,28,7-Jun,222,Texas A&M,USA,2012,2,39,55,21.1,6.2,4.1,13.8,2.30%,15.60%,25.90%,61.90%,20.00%
Khyri Thomas,DET,24,3-Jun,210,Creighton,USA,2018,2,38,8,2.1,0.1,0.4,-28.7,1.20%,0.00%,14.90%,45.30%,9.70%
Kostas Antetokounmpo,LAL,22,10-Jun,200,University of Dayton,Greece,2018,2,60,3,0,0.3,0.3,-16.7,0.00%,33.30%,0.00%,0.00%,16.70%
Kris Dunn,CHI,26,3-Jun,205,Providence,USA,2016,1,5,51,7.3,3.6,3.4,-0.1,1.70%,13.20%,14.50%,51.00%,19.80%
Kristaps Porzingis,DAL,24,3-Jul,240,None,Latvia,2015,1,4,51,19.2,9.5,1.7,8.6,5.30%,22.20%,25.80%,54.00%,8.60%
Ky Bowman,GSW,23,1-Jun,187,None,USA,Undrafted,Undrafted,Undrafted,45,7.4,2.7,2.9,-8.4,2.20%,9.30%,16.80%,49.40%,20.20%
Kyle Anderson,MEM,26,9-Jun,230,UCLA,USA,2014,1,30,59,5.7,4.4,2.2,-4.1,4.60%,15.60%,13.20%,54.20%,15.60%
Kyle Guy,SAC,22,1-Jun,167,Virginia,USA,2019,2,55,2,1,0,0,-30,0.00%,0.00%,20.00%,50.00%,0.00%
Kyle Korver,MIL,39,7-Jun,212,Creighton,USA,2003,2,51,50,6.7,2.1,1.2,7.9,1.60%,8.80%,14.70%,61.30%,9.30%
Kyle Kuzma,LAL,24,8-Jun,221,Utah,USA,2017,1,27,54,12.5,4.5,1.3,5.3,3.50%,13.40%,22.40%,52.20%,7.50%
Kyle Lowry,TOR,34,Jun-00,196,Villanova,USA,2006,1,24,52,19.7,4.8,7.7,6.1,1.50%,10.80%,22.50%,58.90%,30.90%
Kyle O'Quinn,PHI,30,9-Jun,250,Norfolk State,USA,2012,2,49,26,3.3,3.8,1.3,-8.9,11.20%,25.90%,15.40%,54.10%,19.20%
Kyrie Irving,BKN,28,2-Jun,195,Duke,Australia,2011,1,1,20,27.4,5.2,6.4,-0.4,3.20%,12.00%,31.80%,59.50%,33.10%
LaMarcus Aldridge,SAS,34,11-Jun,250,Texas,USA,2006,1,2,53,18.9,7.4,2.4,-3.2,5.80%,16.20%,23.60%,57.10%,11.70%
Landry Shamet,LAC,23,4-Jun,190,Wichita State,USA,2018,1,26,47,9.7,1.9,1.9,4.9,0.40%,5.80%,13.10%,59.90%,8.90%
Langston Galloway,DET,28,1-Jun,200,,USA,Undrafted,Undrafted,Undrafted,66,10.3,2.3,1.5,-4.4,1.90%,6.80%,14.90%,58.40%,8.90%
Larry Nance Jr.,CLE,27,7-Jun,245,Wyoming,USA,2015,1,27,56,10.1,7.3,2.2,-5.1,6.80%,20.90%,15.00%,60.80%,12.60%
Lauri Markkanen,CHI,23,Jul-00,240,Arizona,Finland,2017,1,7,50,14.7,6.3,1.5,-2,3.80%,17.40%,20.90%,56.00%,7.70%
LeBron James,LAL,35,9-Jun,250,None,USA,2003,1,1,60,25.7,7.9,10.6,10.3,2.80%,18.70%,30.80%,58.20%,48.10%
Lonnie Walker IV,SAS,21,5-Jun,204,Miami,USA,2018,1,18,53,5.6,2.2,0.9,-1.5,2.50%,11.80%,17.80%,51.50%,8.70%
Lonzo Ball,NOP,22,6-Jun,190,UCLA,USA,2017,1,2,56,12.4,6.2,7,0.5,3.20%,14.40%,18.30%,52.90%,29.30%
Lou Williams,LAC,33,1-Jun,175,None,USA,2005,2,45,60,18.7,3.1,5.7,4.6,1.50%,7.90%,27.00%,54.60%,29.50%
Louis King,DET,21,7-Jun,205,None,USA,Undrafted,Undrafted,Undrafted,10,2,1,0.5,11,1.50%,14.10%,16.30%,44.80%,12.50%
Luguentz Dort,OKC,21,3-Jun,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted,29,6.2,1.9,0.7,4.6,2.40%,5.80%,12.80%,52.10%,4.40%
Luka Doncic,DAL,21,7-Jun,230,None,Slovenia,2018,1,3,54,28.7,9.3,8.7,6.2,3.70%,22.20%,35.80%,58.40%,44.80%
Luka Samanic,SAS,20,10-Jun,227,None,Croatia,2019,1,19,1,0,2,3,26.9,0.00%,13.30%,15.40%,0.00%,33.30%
Luke Kennard,DET,24,5-Jun,206,Duke,USA,2017,1,12,28,15.8,3.5,4.1,-2.1,1.00%,9.50%,19.30%,58.90%,18.80%
Luke Kornet,CHI,24,2-Jul,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,36,6,2.3,0.9,-3.6,3.70%,11.80%,16.30%,53.90%,8.20%
Malcolm Brogdon,IND,27,5-Jun,229,Virginia,USA,2016,2,36,48,16.3,4.7,7.1,2.9,2.80%,12.30%,24.70%,53.70%,35.30%
Malcolm Miller,TOR,27,7-Jun,210,Holy Cross,USA,Undrafted,Undrafted,Undrafted,25,0.9,0.6,0.3,16.3,0.80%,9.00%,9.40%,43.20%,8.00%
Malik Beasley,MIN,23,4-Jun,187,Florida State,USA,2016,1,19,55,11.2,2.7,1.4,-1.9,1.40%,10.70%,20.80%,54.60%,9.30%
Malik Monk,CHA,22,3-Jun,200,Kentucky,USA,2017,1,11,55,10.3,2.9,2.1,-10.5,2.10%,10.80%,22.00%,53.00%,16.80%
Malik Newman,CLE,23,3-Jun,190,Kansas,USA,Undrafted,Undrafted,Undrafted,1,2,0,0,-30.4,0.00%,0.00%,57.10%,34.70%,0.00%
