PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Rk,Unnamed: 2,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rudy Gay,SF-PF,5.70%,-,-,79.0,6' 8'',8' 11.5'',222,87.0,166,gayru01,PF,33,SAS,60,5,1287,222,502,0.442,58,185,0.314,164,317,0.517,0.5,99,113,0.8759999999999999,56,266,322,101,26,28,78,89,601
Russell Westbrook,PG,4.80%,-,-,74.25,6' 3.5'',8' 4'',192,79.75,492,westbru01,PG,31,HOU,53,53,1905,568,1199,0.474,51,201,0.254,517,998,0.518,0.495,269,346,0.777,94,332,426,370,88,17,236,187,1456
Semi Ojeleye,SF-SG,5.50%,8.75,9.5,77.25,6' 6.75'',8' 6'',241.4,81.75,369,ojelese01,PF,25,BOS,61,5,891,65,159,0.409,36,98,0.36700000000000005,29,61,0.475,0.522,25,28,0.893,24,100,124,31,18,5,12,63,191
Seth Curry,SG,9.60%,8,8.25,73.0,6' 3'',8' 1.5'',179.2,76.0,115,curryse01,SG,29,DAL,59,20,1448,266,532,0.5,136,300,0.45299999999999996,130,232,0.56,0.628,74,88,0.841,26,113,139,119,36,8,60,101,742
Shabazz Napier,PG,7.35%,8.25,8.5,71.0,6' 1'',7' 9'',175.2,75.25,357,napiesh01,PG,28,TOT,51,30,1234,170,413,0.41200000000000003,71,222,0.32,99,191,0.518,0.498,116,141,0.823,25,121,146,253,66,9,111,93,527
Shai Gilgeous-Alexander,PG,3.00%,9,9,76.5,6' 6'',8' 8'',180,83.5,170,gilgesh01,SG,21,OKC,63,63,2214,442,935,0.473,78,222,0.35100000000000003,364,713,0.511,0.514,254,317,0.8009999999999999,45,339,384,208,70,45,117,108,1216
Shake Milton,SG-PG,6.80%,8.75,9.5,76.5,6' 5.5'',8' 3.5'',207.2,84.75,335,miltosh01,SG,23,PHI,32,16,611,108,217,0.498,48,106,0.45299999999999996,60,111,0.541,0.608,39,51,0.765,11,57,68,71,19,6,38,69,303
Solomon Hill,SF,7.60%,9,10.5,77.5,6' 7'',8' 7'',226,81.0,214,hillso01,SF,28,TOT,54,4,992,100,248,0.40299999999999997,59,156,0.37799999999999995,41,92,0.446,0.522,30,42,0.7140000000000001,27,127,154,98,36,12,47,78,289
Spencer Dinwiddie,PG,5.35%,8.25,9,76.5,6' 6'',8' 7'',204.9,80.25,127,dinwisp01,SG,26,BRK,64,49,1994,424,1021,0.415,123,400,0.308,301,621,0.485,0.47600000000000003,347,446,0.778,32,189,221,432,40,21,174,180,1318
Stephen Curry,PG-SG,5.70%,-,-,74.0,6' 3.25'',8' 1'',181,75.5,116,curryst01,PG,31,GSW,5,5,139,33,82,0.402,12,49,0.245,21,33,0.636,0.47600000000000003,26,26,1.0,4,22,26,33,5,2,16,11,104
