PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Rk,Unnamed: 2,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan McRae,SG,5.20%,8.75,8.5,75.75,6' 5.25'',8' 8'',179.4,84.5,325,mcraejo01,SG,28,TOT,37,4,784,149,366,0.40700000000000003,45,126,0.35700000000000004,104,240,0.433,0.469,83,109,0.7609999999999999,18,106,124,93,21,16,43,73,426
Jordan Poole,SG,7.50%,8.25,8.5,75.5,6' 5.5'',8' 3.5'',190.8,78.75,396,poolejo01,SG,20,GSW,57,14,1274,167,502,0.33299999999999996,74,265,0.27899999999999997,93,237,0.392,0.406,95,119,0.7979999999999999,9,109,118,134,35,10,74,94,503
Josh Hart,SG-SF,5.80%,8.5,9.5,75.75,6' 5'',8' 5'',209.2,80.25,200,hartjo01,SF,24,NOP,57,14,1563,200,481,0.41600000000000004,111,325,0.342,89,156,0.5710000000000001,0.531,68,91,0.747,54,316,370,94,59,21,65,144,579
Josh Okogie,SG,5.20%,9,9.75,75.0,6' 4.5'',8' 6'',210.8,84.0,372,okogijo01,SG,21,MIN,62,28,1547,170,398,0.42700000000000005,41,154,0.266,129,244,0.529,0.479,152,191,0.7959999999999999,87,181,268,99,68,26,87,139,533
Jrue Holiday,PG-SG,6.30%,-,-,75.25,6' 4.25'',8' 4.5'',199,79.0,217,holidjr01,SG,29,NOP,55,55,1922,421,931,0.452,115,322,0.35700000000000004,306,609,0.502,0.514,119,170,0.7,70,198,268,378,92,44,158,125,1076
Julius Randle,PF,9.40%,8.75,8.25,79.75,6' 9'',8' 9.5'',249.7,84.0,405,randlju01,PF,25,NYK,64,64,2080,463,1006,0.46,64,231,0.27699999999999997,399,775,0.515,0.49200000000000005,258,352,0.733,151,471,622,198,51,22,193,178,1248
Justin Jackson,PF,8.90%,9,9.5,78.0,6' 6.75'',8' 9'',229.4,87.0,241,jacksju01,PF,24,DAL,58,2,929,124,311,0.39899999999999997,45,151,0.298,79,160,0.494,0.47100000000000003,36,44,0.818,27,115,142,49,12,10,12,58,329
Justise Winslow,SF,5.30%,8.5,9.25,76.5,6' 6.5'',8' 8.5'',221.8,82.25,506,winslju01,SF,23,MIA,11,5,352,50,129,0.38799999999999996,6,27,0.222,44,102,0.431,0.41100000000000003,18,27,0.667,16,57,73,44,7,5,24,38,124
Kadeem Allen,PG,6.40%,8.5,8.75,73.0,6' 2.25'',8' 3.5'',192.4,81.25,7,allenka01,SG,27,NYK,10,0,117,19,44,0.43200000000000005,5,16,0.313,14,28,0.5,0.489,7,11,0.636,2,7,9,21,5,2,8,7,50
Kawhi Leonard,SF,5.40%,9.75,11.25,78.0,6' 7'',8' 10'',227.4,87.0,288,leonaka01,SF,28,LAC,51,51,1643,476,1016,0.469,107,292,0.366,369,724,0.51,0.521,311,350,0.889,52,321,373,254,92,31,140,98,1370
Keita Bates-Diop,SG-SF,5.35%,9,8.5,79.25,6' 8.5'',8' 10.5'',223.8,87.25,29,bateske01,SF,24,TOT,39,0,665,89,208,0.428,31,94,0.33,58,114,0.509,0.502,49,69,0.71,21,91,112,30,17,21,14,38,258
Kelly Olynyk,PF-C,6.65%,8.5,10,82.75,7' 0'',9' 0'',234,81.75,375,olynyke01,C,28,MIA,59,6,1089,151,317,0.47600000000000003,80,185,0.43200000000000005,71,132,0.5379999999999999,0.603,70,82,0.8540000000000001,37,222,259,97,38,18,63,144,452
Kemba Walker,PG,5.90%,8,9,71.5,6' 1'',7' 7.5'',184,75.5,480,walkeke02,PG,29,BOS,50,50,1592,350,832,0.42100000000000004,165,438,0.377,185,394,0.47,0.52,195,225,0.867,33,171,204,247,47,25,107,77,1060
Kenrich Williams,SF,5.95%,8.5,9.75,78.0,6' 7.5'',8' 7.5'',200.4,79.25,499,willike04,PF,25,NOP,35,18,779,49,143,0.34299999999999997,25,96,0.26,24,47,0.511,0.43,9,24,0.375,49,129,178,53,25,21,21,81,132
Kentavious Caldwell-Pope,SG,6.45%,8.5,9,76.5,6' 5.5'',8' 4.5'',203.6,80.0,81,caldwke01,SG,26,LAL,63,20,1603,220,466,0.47200000000000003,87,221,0.39399999999999996,133,245,0.5429999999999999,0.565,74,95,0.779,37,95,132,105,53,13,55,117,601
Kevin Huerter,SG,8.60%,8.25,8.5,78.25,6' 7.25'',8' 5.5'',194,79.5,227,huertke01,SG,21,ATL,56,48,1760,252,610,0.413,127,334,0.38,125,276,0.45299999999999996,0.517,53,64,0.828,35,193,228,213,51,27,87,139,684
Kevin Knox,SF,4.95%,8.75,9.25,79.75,6' 9'',9' 0'',212.6,83.75,270,knoxke01,SF,20,NYK,65,4,1166,144,401,0.359,65,199,0.327,79,202,0.391,0.44,66,101,0.653,28,156,184,61,23,28,45,106,419
Kevin Love,PF,12.90%,-,-,79.75,6' 9.5'',8' 10'',255,83.25,296,loveke01,PF,31,CLE,56,56,1780,327,727,0.45,146,390,0.374,181,337,0.537,0.55,187,219,0.8540000000000001,54,493,547,178,33,19,140,90,987
Kevin Porter Jr.,SG,5.10%,8.75,8.75,76.0,6' 5.5'',8' 7'',212.6,81.0,397,porteke02,SF,19,CLE,50,3,1162,186,421,0.442,53,158,0.335,133,263,0.506,0.505,73,101,0.723,22,140,162,109,46,14,93,135,498
Kevon Looney,PF,11.90%,9.5,9.25,80.0,6' 9.25'',9' 2'',222.4,87.5,293,looneke01,C,23,GSW,20,4,262,29,79,0.36700000000000005,1,14,0.071,28,65,0.431,0.373,9,12,0.75,28,38,66,20,12,6,12,34,68
Khris Middleton,SF,7.80%,9,9,78.75,6' 8.25'',8' 7'',216.2,82.75,329,middlkh01,SF,28,MIL,55,52,1653,424,850,0.499,133,318,0.418,291,532,0.547,0.5770000000000001,178,196,0.9079999999999999,40,301,341,225,51,7,113,122,1159
Kris Dunn,PG,-%,-,-,75.0,6' 4.25'',8' 4'',0,81.5,137,dunnkr01,PG,25,CHI,51,32,1269,152,342,0.444,29,112,0.259,123,230,0.535,0.48700000000000004,40,54,0.741,23,163,186,173,101,17,68,158,373
Ky Bowman,PG,4.90%,8.25,9,73.0,6' 2.25'',8' 2'',181.2,79.0,56,bowmaky01,PG,22,GSW,45,12,1015,134,321,0.41700000000000004,33,107,0.308,101,214,0.47200000000000003,0.469,34,41,0.8290000000000001,24,97,121,131,44,10,70,102,335
Kyle Anderson,SF,13.35%,8.25,8.75,79.5,6' 8.5'',8' 11.5'',230.1,86.75,10,anderky01,PF,26,MEM,59,20,1140,138,280,0.493,16,62,0.258,122,218,0.56,0.521,43,66,0.652,54,203,257,132,46,31,55,85,335
Kyle Korver,SF,6.70%,-,-,78.25,,8' 6.5'',211,81.5,274,korveky01,SF,38,MIL,50,0,833,111,259,0.429,86,207,0.415,25,52,0.48100000000000004,0.595,28,34,0.8240000000000001,14,90,104,61,21,12,42,68,336
Kyle Kuzma,SF-SG,9.40%,8.5,9.5,80.0,6' 9.5'',8' 11.5'',222.6,84.25,276,kuzmaky01,PF,24,LAL,54,7,1327,254,588,0.43200000000000005,70,236,0.297,184,352,0.523,0.491,96,130,0.738,48,194,242,69,21,21,85,106,674
Kyle O'Quinn,PF,8.00%,9.5,10,80.5,6' 10'',8' 10.5'',240.8,88.75,368,oquinky01,C,29,PHI,26,1,258,35,72,0.486,7,23,0.304,28,49,0.5710000000000001,0.535,10,19,0.526,32,66,98,35,5,22,18,35,87
